cnpj;razao_social;data_autorizacao;prefixo;descricao_linha;tipo_veiculo;sentido;horario;segunda_feira;terca_feira;quarta_feira;quinta_feira;sexta_feira;sabado;domingo;janeiro;fevereiro;marco;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0064-00;RIO DE JANEIRO(RJ) - SAO JOSE DOS CAMPOS(SP);CONVEN. C/ SANITÁRIO;ida;14:00;;;;;;;x;;;;;;;x;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0064-00;RIO DE JANEIRO(RJ) - SAO JOSE DOS CAMPOS(SP);CONVEN. C/ SANITÁRIO;volta;08:30;;;;;x;;;;;;;;;x;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;05/11/2016;07-0064-31;RIO DE JANEIRO(RJ) - SAO JOSE DOS CAMPOS(SP);SEMI-LEITO;ida;09:00;;;;;x;;;;;;;;;x;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;05/11/2016;07-0064-31;RIO DE JANEIRO(RJ) - SAO JOSE DOS CAMPOS(SP);SEMI-LEITO;ida;14:00;;;;;;;x;;;;;;;x;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;05/11/2016;07-0064-31;RIO DE JANEIRO(RJ) - SAO JOSE DOS CAMPOS(SP);SEMI-LEITO;volta;08:30;;;;;x;;;;;;;;;x;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;05/11/2016;07-0064-31;RIO DE JANEIRO(RJ) - SAO JOSE DOS CAMPOS(SP);SEMI-LEITO;volta;09:00;;;;;;;x;;;;;;;x;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0064-61;RIO DE JANEIRO(RJ) - SAO JOSE DOS CAMPOS(SP);EXECUTIVO;ida;09:00;;;;;x;;;;;;;;;x;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0064-61;RIO DE JANEIRO(RJ) - SAO JOSE DOS CAMPOS(SP);EXECUTIVO;volta;09:00;;;;;;;x;;;;;;;x;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0066-00;VOLTA REDONDA(RJ) - APARECIDA(SP);CONVEN. C/ SANITÁRIO;ida;06:15;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0066-00;VOLTA REDONDA(RJ) - APARECIDA(SP);CONVEN. C/ SANITÁRIO;volta;17:00;x;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0066-61;VOLTA REDONDA(RJ) - APARECIDA(SP);EXECUTIVO;ida;06:15;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0066-61;VOLTA REDONDA(RJ) - APARECIDA(SP);EXECUTIVO;ida;16:45;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0066-61;VOLTA REDONDA(RJ) - APARECIDA(SP);EXECUTIVO;volta;07:45;x;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0066-61;VOLTA REDONDA(RJ) - APARECIDA(SP);EXECUTIVO;volta;16:45;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0066-61;VOLTA REDONDA(RJ) - APARECIDA(SP);EXECUTIVO;volta;17:00;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0067-00;VOLTA REDONDA(RJ) - MOGI DAS CRUZES(SP);CONVEN. C/ SANITÁRIO;ida;06:20;;x;x;x;;;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0067-00;VOLTA REDONDA(RJ) - MOGI DAS CRUZES(SP);CONVEN. C/ SANITÁRIO;volta;14:10;;x;x;x;;;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0067-61;VOLTA REDONDA(RJ) - MOGI DAS CRUZES(SP);EXECUTIVO;ida;06:20;x;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0067-61;VOLTA REDONDA(RJ) - MOGI DAS CRUZES(SP);EXECUTIVO;volta;14:10;x;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0068-00;VOLTA REDONDA(RJ) - PINDAMONHANGABA(SP);CONVEN. C/ SANITÁRIO;ida;16:45;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0068-00;VOLTA REDONDA(RJ) - PINDAMONHANGABA(SP);CONVEN. C/ SANITÁRIO;volta;11:00;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0068-61;VOLTA REDONDA(RJ) - PINDAMONHANGABA(SP);EXECUTIVO;ida;12:00;x;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0068-61;VOLTA REDONDA(RJ) - PINDAMONHANGABA(SP);EXECUTIVO;volta;11:00;x;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0069-00;VOLTA REDONDA(RJ) - SAO JOSE DOS CAMPOS(SP);CONVEN. C/ SANITÁRIO;ida;18:30;;x;;;;;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0069-00;VOLTA REDONDA(RJ) - SAO JOSE DOS CAMPOS(SP);CONVEN. C/ SANITÁRIO;volta;06:45;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;22/05/2019;07-0069-61;VOLTA REDONDA(RJ) - SAO JOSE DOS CAMPOS(SP);EXECUTIVO;ida;18:30;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;22/05/2019;07-0069-61;VOLTA REDONDA(RJ) - SAO JOSE DOS CAMPOS(SP);EXECUTIVO;volta;18:30;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0070-00;VOLTA REDONDA(RJ) - SAO JOSE DOS CAMPOS(SP);CONVEN. C/ SANITÁRIO;ida;11:00;;;;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0070-00;VOLTA REDONDA(RJ) - SAO JOSE DOS CAMPOS(SP);CONVEN. C/ SANITÁRIO;ida;15:15;x;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0070-00;VOLTA REDONDA(RJ) - SAO JOSE DOS CAMPOS(SP);CONVEN. C/ SANITÁRIO;volta;12:00;;;;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0070-00;VOLTA REDONDA(RJ) - SAO JOSE DOS CAMPOS(SP);CONVEN. C/ SANITÁRIO;volta;18:30;x;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0070-61;VOLTA REDONDA(RJ) - SAO JOSE DOS CAMPOS(SP);EXECUTIVO;ida;07:10;;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0070-61;VOLTA REDONDA(RJ) - SAO JOSE DOS CAMPOS(SP);EXECUTIVO;ida;11:00;x;x;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0070-61;VOLTA REDONDA(RJ) - SAO JOSE DOS CAMPOS(SP);EXECUTIVO;ida;15:15;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0070-61;VOLTA REDONDA(RJ) - SAO JOSE DOS CAMPOS(SP);EXECUTIVO;volta;12:00;x;x;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0070-61;VOLTA REDONDA(RJ) - SAO JOSE DOS CAMPOS(SP);EXECUTIVO;volta;17:00;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0070-61;VOLTA REDONDA(RJ) - SAO JOSE DOS CAMPOS(SP);EXECUTIVO;volta;18:30;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0138-00;RIO DE JANEIRO(RJ) - SANTOS(SP);CONVEN. C/ SANITÁRIO;ida;12:45;;;;;;x;;;;;;;;x;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0138-00;RIO DE JANEIRO(RJ) - SANTOS(SP);CONVEN. C/ SANITÁRIO;volta;21:40;;;;;;x;;;;;;;;x;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0138-31;RIO DE JANEIRO(RJ) - SANTOS(SP);SEMI-LEITO;ida;12:45;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0138-31;RIO DE JANEIRO(RJ) - SANTOS(SP);SEMI-LEITO;ida;22:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0138-31;RIO DE JANEIRO(RJ) - SANTOS(SP);SEMI-LEITO;volta;12:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0138-31;RIO DE JANEIRO(RJ) - SANTOS(SP);SEMI-LEITO;volta;21:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0138-41;RIO DE JANEIRO(RJ) - SANTOS(SP);LEITO COM AR;ida;23:30;;;;;x;;;x;;;;;;;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0138-41;RIO DE JANEIRO(RJ) - SANTOS(SP);LEITO COM AR;volta;23:30;;;;;;;x;x;;;;;;;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0138-61;RIO DE JANEIRO(RJ) - SANTOS(SP);EXECUTIVO;ida;12:45;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0138-61;RIO DE JANEIRO(RJ) - SANTOS(SP);EXECUTIVO;ida;22:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0138-61;RIO DE JANEIRO(RJ) - SANTOS(SP);EXECUTIVO;volta;12:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0138-61;RIO DE JANEIRO(RJ) - SANTOS(SP);EXECUTIVO;volta;21:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0140-00;RIO DE JANEIRO(RJ) - SAO SEBASTIAO(SP);CONVEN. C/ SANITÁRIO;ida;23:00;;x;x;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0140-00;RIO DE JANEIRO(RJ) - SAO SEBASTIAO(SP);CONVEN. C/ SANITÁRIO;volta;22:00;;x;x;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;12/10/2019;07-0140-31;RIO DE JANEIRO(RJ) - SAO SEBASTIAO(SP);SEMI-LEITO;ida;23:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;12/10/2019;07-0140-31;RIO DE JANEIRO(RJ) - SAO SEBASTIAO(SP);SEMI-LEITO;volta;22:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0140-61;RIO DE JANEIRO(RJ) - SAO SEBASTIAO(SP);EXECUTIVO;ida;23:00;x;;;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0140-61;RIO DE JANEIRO(RJ) - SAO SEBASTIAO(SP);EXECUTIVO;volta;22:00;x;;;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0141-60;RIO DE JANEIRO(RJ) - UBATUBA(SP);EXECUTIVO;ida;20:45;;;;;x;;;;;;;;;;;;;;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;07-0141-60;RIO DE JANEIRO(RJ) - UBATUBA(SP);EXECUTIVO;volta;20:45;;;;;;;x;;;;;;;;;;;;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;18/08/2017;07-0150-00;RIO DE JANEIRO(RJ) - SANTOS(SP);CONVEN. C/ SANITÁRIO;ida;08:30;x;;x;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;18/08/2017;07-0150-00;RIO DE JANEIRO(RJ) - SANTOS(SP);CONVEN. C/ SANITÁRIO;volta;08:30;x;;x;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;18/08/2017;07-0150-31;RIO DE JANEIRO(RJ) - SANTOS(SP);SEMI-LEITO;ida;08:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;18/08/2017;07-0150-31;RIO DE JANEIRO(RJ) - SANTOS(SP);SEMI-LEITO;volta;08:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;15/05/2018;07-0150-61;RIO DE JANEIRO(RJ) - SANTOS(SP);EXECUTIVO;ida;08:30;;x;;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;15/05/2018;07-0150-61;RIO DE JANEIRO(RJ) - SANTOS(SP);EXECUTIVO;volta;08:30;;x;;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;22/09/2017;07-0154-31;RIO DE JANEIRO(RJ) - SANTOS(SP);SEMI-LEITO;ida;07:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;22/09/2017;07-0154-31;RIO DE JANEIRO(RJ) - SANTOS(SP);SEMI-LEITO;ida;16:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;22/09/2017;07-0154-31;RIO DE JANEIRO(RJ) - SANTOS(SP);SEMI-LEITO;volta;08:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;22/09/2017;07-0154-31;RIO DE JANEIRO(RJ) - SANTOS(SP);SEMI-LEITO;volta;12:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;20/09/2017;07-0154-60;RIO DE JANEIRO(RJ) - SANTOS(SP);EXECUTIVO;ida;07:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;20/09/2017;07-0154-60;RIO DE JANEIRO(RJ) - SANTOS(SP);EXECUTIVO;ida;16:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;20/09/2017;07-0154-60;RIO DE JANEIRO(RJ) - SANTOS(SP);EXECUTIVO;volta;08:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;20/09/2017;07-0154-60;RIO DE JANEIRO(RJ) - SANTOS(SP);EXECUTIVO;volta;12:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;05/11/2019;07-0157-31;RIO DE JANEIRO(RJ) - SANTOS(SP);SEMI-LEITO;ida;13:00;;;;;;x;;x;;;;;;;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;05/11/2019;07-0157-31;RIO DE JANEIRO(RJ) - SANTOS(SP);SEMI-LEITO;volta;12:30;;;;;;x;;x;;;;;;;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;05/11/2019;07-0157-41;RIO DE JANEIRO(RJ) - SANTOS(SP);LEITO COM AR;ida;13:00;;;;;;;x;x;;;;;;;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;05/11/2019;07-0157-41;RIO DE JANEIRO(RJ) - SANTOS(SP);LEITO COM AR;volta;12:30;;;;;;;x;x;;;;;;;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/05/2018;07-0157-60;RIO DE JANEIRO(RJ) - SANTOS(SP);EXECUTIVO;ida;13:00;;;;;;x;x;x;;;;;;;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/05/2018;07-0157-60;RIO DE JANEIRO(RJ) - SANTOS(SP);EXECUTIVO;volta;12:30;;;;;;x;x;x;;;;;;;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;17/05/2018;07-0158-31;RIO DE JANEIRO(RJ) - SAO JOSE DOS CAMPOS(SP);SEMI-LEITO;ida;18:15;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;17/05/2018;07-0158-31;RIO DE JANEIRO(RJ) - SAO JOSE DOS CAMPOS(SP);SEMI-LEITO;volta;07:20;x;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;27/04/2018;07-0158-60;RIO DE JANEIRO(RJ) - SAO JOSE DOS CAMPOS(SP);EXECUTIVO;ida;18:15;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;27/04/2018;07-0158-60;RIO DE JANEIRO(RJ) - SAO JOSE DOS CAMPOS(SP);EXECUTIVO;volta;07:20;x;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;15/05/2018;07-0159-60;RIO DE JANEIRO(RJ) - APARECIDA(SP);EXECUTIVO;ida;15:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;15/05/2018;07-0159-60;RIO DE JANEIRO(RJ) - APARECIDA(SP);EXECUTIVO;volta;14:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;15/05/2018;07-0161-60;RIO DE JANEIRO(RJ) - APARECIDA(SP);EXECUTIVO;ida;06:45;;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;15/05/2018;07-0161-60;RIO DE JANEIRO(RJ) - APARECIDA(SP);EXECUTIVO;volta;15:30;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;11/10/2018;07-0167-31;RIO DE JANEIRO(RJ) - GUARULHOS(SP);SEMI-LEITO;ida;11:10;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;11/10/2018;07-0167-31;RIO DE JANEIRO(RJ) - GUARULHOS(SP);SEMI-LEITO;volta;06:15;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;11/10/2018;07-0167-41;RIO DE JANEIRO(RJ) - GUARULHOS(SP);LEITO COM AR;ida;11:00;;;;;;;x;;;;;;;x;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;11/10/2018;07-0167-41;RIO DE JANEIRO(RJ) - GUARULHOS(SP);LEITO COM AR;volta;06:30;;;;;;x;;;;;;;;x;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;11/10/2018;07-0167-60;RIO DE JANEIRO(RJ) - GUARULHOS(SP);EXECUTIVO;ida;11:10;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;11/10/2018;07-0167-60;RIO DE JANEIRO(RJ) - GUARULHOS(SP);EXECUTIVO;volta;06:15;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;25/05/2020;07-0170-41;RIO DE JANEIRO(RJ) - SANTOS(SP);LEITO COM AR;ida;23:59;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;25/05/2020;07-0170-41;RIO DE JANEIRO(RJ) - SANTOS(SP);LEITO COM AR;volta;23:59;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;25/05/2020;07-0170-60;RIO DE JANEIRO(RJ) - SANTOS(SP);EXECUTIVO;ida;23:59;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;25/05/2020;07-0170-60;RIO DE JANEIRO(RJ) - SANTOS(SP);EXECUTIVO;volta;23:59;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;14/02/2018;08-0200-60;RIBEIRAO PRETO(SP) - RIO DE JANEIRO(RJ);EXECUTIVO;ida;20:15;;;;;;;x;;;;;;;x;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;14/02/2018;08-0200-60;RIBEIRAO PRETO(SP) - RIO DE JANEIRO(RJ);EXECUTIVO;volta;23:30;;;;;x;;;;;;;;;x;;;;;
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;11-0016-00;CUIABA(MT) - RIO DE JANEIRO(RJ);CONVEN. C/ SANITÁRIO;ida;12:00;x;x;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;11-0016-00;CUIABA(MT) - RIO DE JANEIRO(RJ);CONVEN. C/ SANITÁRIO;volta;12:00;;x;x;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;19/06/2018;11-0016-31;CUIABA(MT) - RIO DE JANEIRO(RJ);SEMI-LEITO;ida;12:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;19/06/2018;11-0016-31;CUIABA(MT) - RIO DE JANEIRO(RJ);SEMI-LEITO;ida;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;19/06/2018;11-0016-31;CUIABA(MT) - RIO DE JANEIRO(RJ);SEMI-LEITO;volta;12:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;19/06/2018;11-0016-31;CUIABA(MT) - RIO DE JANEIRO(RJ);SEMI-LEITO;volta;23:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;11-0016-61;CUIABA(MT) - RIO DE JANEIRO(RJ);EXECUTIVO;ida;12:00;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
23.542.573/0001-42;CONSÓRCIO GUANABARA DE TRANSPORTES;01/01/2016;11-0016-61;CUIABA(MT) - RIO DE JANEIRO(RJ);EXECUTIVO;ida;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
